变更类型,旧路径,新路径,旧SHA256,新SHA256,旧字节数,新字节数,内容类型,处理提示
修改,AI测试/00_AI测试_模块入口与复用规则.md,AI测试/00_AI测试_模块入口与复用规则.md,fbc3ecda1058ba581fc922050ac99b2f589f2063c6bbca00c602867ac4f1c23d,3a3de4df2c1f2ef084bf24f92095d6962701c70dfbba48a15b4b0fad80a3180e,4549,5022,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,AI测试/README.md,AI测试/README.md,7deebf19aef5c9e94d01ba7821b4bb1c9ccb621855cf8cc5239f61406180f41c,afba4d0c2d32ad792a30e55a729b73f56831d975ee596d21fe4d4daa646bf76c,3441,3798,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,AI测试/产品端到端/BEH_产品端到端测试融合_主窗口与多工具协作探索指南_v1.0_2026-09-16.md,AI测试/产品端到端/BEH_产品端到端测试融合_主窗口与多工具协作探索指南_v1.0_2026-09-16.md,18f782caf919dcdca32f373112a6f082444680625479352cf53d12d0f892131c,19344056ff7e893445092e03b3c09f050f272708cacc4533fc200833ee0c5906,50843,51350,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,AI测试/测试与解释融合/02_AI测试与解释融合_双环境实施指导_v1.0_2026-09-16.md,AI测试/测试与解释融合/02_AI测试与解释融合_双环境实施指导_v1.0_2026-09-16.md,d23de8f9d7a66faac4544d9d55cc203cff62846a81ddf01ad9c9d7bb702c2d77,6ee4494dd5a1364da5f08b44dd238c9ca86023eed17184ca61faa8c5ddf9d2b6,38309,38817,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,AI解释/00_AI解释_两档模式与测试增强规范.md,AI解释/00_AI解释_两档模式与测试增强规范.md,72dd897d71ea0ca0346ed63aa2404df799deffd170051325f5eab5d226c3db1b,b1f06650f67499e55465e91f206221e887352ab2d80905730473d09e5d6ee153,9153,9515,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,AI解释/参考规范/08_阶段2_AI解释MVP_外置Skill_v1.0.md,AI解释/参考规范/08_阶段2_AI解释MVP_外置Skill_v1.0.md,2390acb8b304af69c5d9bf7f43caee7670460657c59aabe73dde7b5774838089,44b287919c14a0f2d7be872fb0b7b1c14609ffb7a1e54558b6e0f87a0607745c,2295,2631,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,README.md,README.md,7e01868db804ed7ae564284cc5ee7cd1cbd102cbd92efb8679200b50688c0fde,966f8bd63f731c97ff210b04a7b7457e70ec1f1be6d6db09abb2c041e5ccb113,3703,4429,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,交付包/README.md,交付包/README.md,ec493c37e67854572c74ca51bbc39e931c0ef646509ebe4092abeffdeecf940a,23387e073ce3a1c278a2457b1da99db5d34eca75189b8bb12c1a355110ff3b81,3582,4622,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,产品与EMAP事实探查/README.md,产品与EMAP事实探查/README.md,34e0465a3a090476b18214aa640cce4210f3c8f7ac170d587394f9093f6613ba,350d0e874f0ee8b9702b9134f6b3adf83f2b5f198e1600b0df243244c42d9513,2110,2542,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,产品与EMAP事实探查/产品与EMAP_CodeQL全链路追踪与机制诊断_上板实施指南_v1.0_2026-09-17.md,产品与EMAP事实探查/产品与EMAP_CodeQL全链路追踪与机制诊断_上板实施指南_v1.0_2026-09-17.md,ca5efb867a04e15ad443c007de49740ae642437d1c6bf5966bbc80aa07076add,48d603cc761272d044da16cea87eda21cc4624ff08f340a243ba0ea8d48a179d,50214,50866,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,产品与EMAP事实探查/产品多核与BEH架构背景记录_v1.0_2026-09-17.md,产品与EMAP事实探查/产品多核与BEH架构背景记录_v1.0_2026-09-17.md,03f76b61844a941aa3b53bc1a5cc9798ac26d30a7e34bc6bd5880b66f1a75ddc,13a302a903b23da4ae685934684e4c5de544e205bdbdb647e8ffffb39f8ee44b,13920,15159,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,产品与EMAP事实探查/成熟工具增强事实探查/00_总入口与执行约定.md,产品与EMAP事实探查/成熟工具增强事实探查/00_总入口与执行约定.md,2a7be343aaab8ad87230a6f43dc002fae8a158f461cdab8e2500f8aaf36a67f4,b497420c2b4fd40696cb332895ee8ac590ae8c43bbe8a35464e2b18ef1a92cee,16615,16829,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,产品与EMAP事实探查/成熟工具增强事实探查/01_产品仓事实探查任务书.md,产品与EMAP事实探查/成熟工具增强事实探查/01_产品仓事实探查任务书.md,5fae5302cac789247fe553f49028f3bd7fafbe1dcbb14e23a3821f07829e55b3,f5c27bdb1a26f5295c16ab3ad9b03463c798c0dc8e0a5785c555578587531e93,8501,8514,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,产品与EMAP事实探查/成熟工具增强事实探查/02_EMAP仓事实探查任务书.md,产品与EMAP事实探查/成熟工具增强事实探查/02_EMAP仓事实探查任务书.md,9041a030eec2141dd9a4a01cfdfe28b5f21b70e71587b134ec3755d156a44582,75a18e110e8e039a06b36cf52e9e9fbdc94405ddda38cc6984c7f2af5e00b5a2,6774,6964,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
