source_kind,source_path,source_sha256,target_path,current_sha256,current_size_bytes,decision
Git包恢复,.gitattributes,2ba7595a6ef7dbde7316b3b54f338544c1f39b5bead3b41426fdc780ab635eeb,.gitattributes,2ba7595a6ef7dbde7316b3b54f338544c1f39b5bead3b41426fdc780ab635eeb,47,保留
Git包恢复,.gitignore,b7eefc7cca0bcf4b4dc2c99b4eeb049fd874f6d56f86f42ecd277df06bb178c9,.gitignore,b7eefc7cca0bcf4b4dc2c99b4eeb049fd874f6d56f86f42ecd277df06bb178c9,391,保留
Git包恢复,AI图元与代码开发/00_AI开发_模块入口与推进边界.md,787052ebaa0f2c0274c7e096139d9505400be1e4b7fbe46d0366c293b7c888fa,AI图元与代码开发/00_AI开发_模块入口与推进边界.md,787052ebaa0f2c0274c7e096139d9505400be1e4b7fbe46d0366c293b7c888fa,2999,保留
Git包恢复,AI图元与代码开发/README.md,67b4ed8b3131acc034ec03583a055e82a9e11db6f77afa167d80a80d3114eef7,AI图元与代码开发/README.md,6a13e766bc7234ebdc1c12a93d6fa300dc8b7862cd3c4698932a10bcc2af02b2,1690,保留
Git包恢复,AI图元与代码开发/参考规范/10_阶段4_AI开发图元与C_CPP代码候选MVP_v1.0.md,4fb72f0c94deafbcac7f0ef191302b8dd72be1cd8000735ab31cdf33abafbf2d,AI图元与代码开发/参考规范/10_阶段4_AI开发图元与C_CPP代码候选MVP_v1.0.md,4fb72f0c94deafbcac7f0ef191302b8dd72be1cd8000735ab31cdf33abafbf2d,1882,保留
Git包恢复,AI图元与代码开发/参考规范/11_阶段5_原生应用_RoundTrip与安全提交_v1.0.md,a57465ba7bf6bcdb5baa4e828319d220a5c9168a5101cc1bdf6fec60acbc5423,AI图元与代码开发/参考规范/11_阶段5_原生应用_RoundTrip与安全提交_v1.0.md,a57465ba7bf6bcdb5baa4e828319d220a5c9168a5101cc1bdf6fec60acbc5423,1534,保留
Git包恢复,AI图元与代码开发/参考规范/16_ProposalGraphOperations与CodePatch数据契约_v1.0.md,e5702d7da053295ce6c78bcc8eac4549dd55ac9231b948aa34dd58207e4c2199,AI图元与代码开发/参考规范/16_ProposalGraphOperations与CodePatch数据契约_v1.0.md,e5702d7da053295ce6c78bcc8eac4549dd55ac9231b948aa34dd58207e4c2199,2022,保留
Git包恢复,AI图元与代码开发/参考规范/23_beh_compose_graph_and_code_Skill设计_v1.0.md,20b9b1b532e8b6d5eb382a538fab7b52e0622f216faf8add920d8773a3029705,AI图元与代码开发/参考规范/23_beh_compose_graph_and_code_Skill设计_v1.0.md,20b9b1b532e8b6d5eb382a538fab7b52e0622f216faf8add920d8773a3029705,2197,保留
Git包恢复,AI图元与代码开发/参考规范/BEH_MCP_Phase1_Implementation_Guide_v1.0_2026-09-05.md,b5bdbf7695ec5950ca83adc15e3b7390707deefae86e7a3588241850e25ae402,AI图元与代码开发/参考规范/BEH_MCP_Phase1_Implementation_Guide_v1.0_2026-09-05.md,b5bdbf7695ec5950ca83adc15e3b7390707deefae86e7a3588241850e25ae402,62620,保留
Git包恢复,AI测试/00_AI测试_模块入口与复用规则.md,fbc3ecda1058ba581fc922050ac99b2f589f2063c6bbca00c602867ac4f1c23d,AI测试/00_AI测试_模块入口与复用规则.md,fbc3ecda1058ba581fc922050ac99b2f589f2063c6bbca00c602867ac4f1c23d,4549,保留
