原位置,当前相对路径,原文件ID,原版本,原字节数,原SHA256,导入基线SHA256,当前SHA256,当前字节数,状态,修改说明
/BEH_统一工作区/00_总览与规则/产品研发与测试_AI统一工作区_Git起步包_2026-09-17.zip,历史资料/迁移记录/Git起步版/产品研发与测试_AI统一工作区_Git起步包_2026-09-17.zip,libfile_4e3180a47df88191ac13c434897be837,,33881,85c232f45b471260003bdde9df895781fa7146fed7160d11e183a87e0389f69d,4718f59258efc53cc2d33e9ffea718ce9aff66ac6a1815362556da05accbac3d,4718f59258efc53cc2d33e9ffea718ce9aff66ac6a1815362556da05accbac3d,33775,已导入本地 Git,统一整理展示表述，并更新对应校验值（2026-09-18）
/BEH_统一工作区/00_总览与规则/统一工作区整理方案_重审版_v1.0_2026-09-17.md,历史资料/迁移记录/统一整理方案/统一工作区整理方案_重审版_v1.0_2026-09-17.md,libfile_dadad9a18f408191ac8d2907da51aafc,,36466,b5e6c241f14a4d779c14d3b0a502e65181aab7eda7f204b9dea6a84ac61bdd10,b5e6c241f14a4d779c14d3b0a502e65181aab7eda7f204b9dea6a84ac61bdd10,b5e6c241f14a4d779c14d3b0a502e65181aab7eda7f204b9dea6a84ac61bdd10,36466,已导入本地 Git,
/BEH_统一工作区/30_AI测试/BEH_控制工具调研与源码调查任务单_v1.0_2026-09-17.md,工具接入与共享能力/工具选型与接入调查/BEH_控制工具调研与源码调查任务单_v1.0_2026-09-17.md,libfile_dcc39847458c81919c14ae87c1248e1b,,24242,b3d48011612bc2929b0e65b96598f00e81679266e635fd5a9101a3fa6c2900f0,83c08ae145fbaad0f885adc0801b61b4d426f1ea0ba7b3ec3cff1cea5dca898b,da0b4f79fd046f08a16ccc31e875ce8388594478be1c663629c4a9bfa0389af9,24504,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中；统一整理展示表述，并更新对应校验值（2026-09-18）
/BEH_统一工作区/30_AI测试/BEH_产品端到端测试融合_主窗口与多工具协作探索指南_v1.0_2026-09-16.md,AI测试/产品端到端/BEH_产品端到端测试融合_主窗口与多工具协作探索指南_v1.0_2026-09-16.md,libfile_5d5a86aab01881918a6d93b6668b8c96,,50647,471b4c04b19f8e9cd6ed50d4b550b8b2a80e9cdb7671386f4325f8af75ddbe6e,77ffedbe138e865cc67f4873073b815873f747281c9f262e901b533064d06d92,18f782caf919dcdca32f373112a6f082444680625479352cf53d12d0f892131c,50843,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中；统一整理展示表述，并更新对应校验值（2026-09-18）
/BEH_统一工作区/00_总览与规则/02_AI测试与解释融合_双环境实施指导_v1.0_2026-09-16.md,AI测试/测试与解释融合/02_AI测试与解释融合_双环境实施指导_v1.0_2026-09-16.md,libfile_0731a54687fc8191a81a6921498964e7,1,38138,7bb83ac6927185c8fd8c8e31bf4ea506f65abdd9733b692c6a263f2760483657,917bf15062cdfcd768e18b1a5a01a5c7a53e8f5da2efe4c04ef5f8088ee2820a,d23de8f9d7a66faac4544d9d55cc203cff62846a81ddf01ad9c9d7bb702c2d77,38309,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中；统一整理展示表述，并更新对应校验值（2026-09-18）
/BEH_统一工作区/50_共享能力/00_共享能力_图元代码与信号观测.md,工具接入与共享能力/00_共享能力_图元代码与信号观测.md,libfile_2728f60cce6881919496f9ae73f8088f,2,3473,5af03f29c437af488f6963eb3a68c1078bb3b5d94738befe149fe0c537152534,536fe354ab0c7f7caf12d05d5ad10e534f754d51e1a282af197f654b344edaf0,e10c357bd07131277324869109eb928ea99ee304e8c0fd85f68fe4131d9def88,3584,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中；统一整理展示表述，并更新对应校验值（2026-09-18）
/BEH_统一工作区/20_AI解释/00_AI解释_两档模式与测试增强规范.md,AI解释/00_AI解释_两档模式与测试增强规范.md,libfile_3a0274b0d0748191a8fa27ccf5614482,2,8985,82c08815fd274589bc10561bc008203cbe2913248f28094e8baff818a164ad41,82c08815fd274589bc10561bc008203cbe2913248f28094e8baff818a164ad41,72dd897d71ea0ca0346ed63aa2404df799deffd170051325f5eab5d226c3db1b,9153,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/00_总览与规则/01_全量文件索引与迁移对照.md,历史资料/迁移记录/BEH_2026-09-14/01_全量文件索引与迁移对照.md,libfile_75de93efed1881919c1d433d6bdb9ac8,,20277,216ed73e3e270fcff9ef54d4eea70350e18d6879d149e5372e4d2332e1610f89,216ed73e3e270fcff9ef54d4eea70350e18d6879d149e5372e4d2332e1610f89,216ed73e3e270fcff9ef54d4eea70350e18d6879d149e5372e4d2332e1610f89,20277,已导入本地 Git,
/BEH_统一工作区/30_AI测试/00_AI测试_模块入口与复用规则.md,AI测试/00_AI测试_模块入口与复用规则.md,libfile_ebc869f1cdac8191a7bb2a7e8f1dd8e8,2,4346,a5501bbd6d03ccb58187ae810f58e704df2e1d3a3942846772dd7e35d4cd41d5,a5501bbd6d03ccb58187ae810f58e704df2e1d3a3942846772dd7e35d4cd41d5,fbc3ecda1058ba581fc922050ac99b2f589f2063c6bbca00c602867ac4f1c23d,4549,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/40_AI开发/00_AI开发_模块入口与推进边界.md,AI图元与代码开发/00_AI开发_模块入口与推进边界.md,libfile_526f6a5c2028819180be030a645cdd2b,,2839,b38dd0795dc63cb6675c519009a0443cae827d3a3fde1428a0383472acaa2445,b38dd0795dc63cb6675c519009a0443cae827d3a3fde1428a0383472acaa2445,787052ebaa0f2c0274c7e096139d9505400be1e4b7fbe46d0366c293b7c888fa,2999,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/10_网页工作台/00_网页工作台_模块入口.md,网页工作台/00_网页工作台_模块入口.md,libfile_3c2762eb022081919990bc81fa31277c,,2437,264ec8f79fc08b57347403ef30ca5c3a621174e83236863013d05642ac3ffa73,264ec8f79fc08b57347403ef30ca5c3a621174e83236863013d05642ac3ffa73,fb8c5730b47069b80d20b5666f6c8344774224c6a03fa8410554261ebcc75073,2536,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/00_总览与规则/00_维护规则与当前决策.md,历史资料/迁移记录/BEH_2026-09-14/00_维护规则与当前决策.md,libfile_d58b88317e9c8191b396b2207a1c68ff,,3363,9aa164f55d414f37a81c91ae89e7851822b419d5fd0eeba2936b1f7645668de7,9aa164f55d414f37a81c91ae89e7851822b419d5fd0eeba2936b1f7645668de7,9aa164f55d414f37a81c91ae89e7851822b419d5fd0eeba2936b1f7645668de7,3363,已导入本地 Git,
/BEH_统一工作区/00_从这里开始_BEH统一导航.md,历史资料/旧入口/00_从这里开始_BEH统一导航.md,libfile_fd965b3bded08191ad1005d5bbc688a8,2,7145,85423742572800d647de33f723b71f7dc576c317483c585409f4408fcdd9b865,2d0d80e4e2c7ff419709c3852f5287e4aca8fb9ce2c280add4683ea0e9bf3ab0,58409dd079c773868f1fe6d768f6a6a8b2f07054f0e70ef8cd91b8564bff29db,7151,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中；统一整理展示表述，并更新对应校验值（2026-09-18）
/BEH_统一工作区/50_共享能力/信号追踪与运行观测/上板信号全链路采集建设与操作指南_跨核与BEH图元_v1.0.md,工具接入与共享能力/信号追踪与运行观测/上板信号全链路采集建设与操作指南_跨核与BEH图元_v1.0.md,libfile_e69d95b69fec8191b713b3dda525e3c5,,61949,ba1bf7e0a6b35af2d3849b52f98ff273db8e56c86efb458b960c180819a0d1c9,ba1bf7e0a6b35af2d3849b52f98ff273db8e56c86efb458b960c180819a0d1c9,df50acd8fb4b8c3006b020b042e360b46b049a182f86b9f5baff6f6ee2cc388a,62211,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/50_共享能力/信号追踪与运行观测/不上板信号全链路建设与验收指南_跨核与BEH图元_v1.0.md,工具接入与共享能力/信号追踪与运行观测/不上板信号全链路建设与验收指南_跨核与BEH图元_v1.0.md,libfile_6f7ee7efc9d481918fc475e879fe1810,1,58872,dd2f2811db45801b4d0992c5c68b4445a80804559e514597ecd633a65695f870,dd2f2811db45801b4d0992c5c68b4445a80804559e514597ecd633a65695f870,1c67735e4470fb4845df078e77b196324a59f96ca7c42f6549ea66c5b18cd754,59134,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/30_AI测试/参考规范/BEH_FB全库发现与批量适配实施手册_基于8个FB基线_v1.0_2026-09-07.md,AI测试/图元行为测试/参考规范/BEH_FB全库发现与批量适配实施手册_基于8个FB基线_v1.0_2026-09-07.md,libfile_cacc19cf2578819197590bd0893466d7,,46944,f819f8ae957f369ef5c99c6cbbb24d5d999895d5d5ffabd0ba2043bf2950dff4,f819f8ae957f369ef5c99c6cbbb24d5d999895d5d5ffabd0ba2043bf2950dff4,80927a8939f515397c54cb2f59a21d010b498a31f640ff84926937a13d7242e5,47209,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/40_AI开发/参考规范/BEH_MCP_Phase1_Implementation_Guide_v1.0_2026-09-05.md,AI图元与代码开发/参考规范/BEH_MCP_Phase1_Implementation_Guide_v1.0_2026-09-05.md,libfile_73f8240242f08191b77c80043f4eca91,,62358,57b4014f21515c7e50bc955998f4c3d6314f8394585b6ff5811473fbc0ba5d72,57b4014f21515c7e50bc955998f4c3d6314f8394585b6ff5811473fbc0ba5d72,b5bdbf7695ec5950ca83adc15e3b7390707deefae86e7a3588241850e25ae402,62620,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/30_AI测试/参考规范/BEH_FB行为测试可信性验真补充规范_v1.0.md,AI测试/图元行为测试/参考规范/BEH_FB行为测试可信性验真补充规范_v1.0.md,libfile_202bb282af9c8191925a4d9eb20ebda8,,13652,70bba79d20347f63ee940757c0e3e84b32d5348facee004ac18fb03f1ba1d016,70bba79d20347f63ee940757c0e3e84b32d5348facee004ac18fb03f1ba1d016,1f6810066fc5e342808cdc6e22dc4816ef37faa3c1dacc8c8b6cde059b9fff09,13917,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/30_AI测试/参考规范/BEH_FB行为测试最小MVP实施规范_独立于旧FB框架_v2.0.md,AI测试/图元行为测试/参考规范/BEH_FB行为测试最小MVP实施规范_独立于旧FB框架_v2.0.md,libfile_cec968a376a8819192c4273669602895,,14986,3491e90c02d04960206a02baa09e200d50f36bb041dbf73b39d34c860e9d5a6c,3491e90c02d04960206a02baa09e200d50f36bb041dbf73b39d34c860e9d5a6c,8c5acc459afbddffbc574613646b93d2ce259b611767eb0a8f72f8b427bccf21,15251,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
